City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
169,Mokhsogollokh,RU,61.4681,128.9203,90.39,26,1,8.59,clear sky
170,Guantanamo,CU,20.1444,-75.2092,81.46,86,92,4.18,overcast clouds
171,Bambous Virieux,MU,-20.3428,57.7575,73.22,67,22,16.08,few clouds
172,San Quintin,MX,30.4833,-115.95,69.69,87,9,7.83,clear sky
173,Bouna,CI,9.2667,-3.0,70.45,94,98,6.02,overcast clouds
174,Provideniya,RU,64.3833,-173.3,50.11,87,90,13.42,light rain
175,Bida,NG,9.0833,6.0167,72.05,96,99,3.22,light rain
176,Bac Lieu,VN,9.285,105.7244,85.98,68,99,10.42,overcast clouds
177,Beloha,MG,-25.1667,45.05,67.41,81,77,9.95,broken clouds
178,Cherskiy,RU,68.75,161.3,54.3,49,90,9.71,overcast clouds
179,Bacolod,PH,10.6667,122.95,85.62,72,100,17.67,light rain
180,La Ronge,CA,55.1001,-105.2842,55.4,70,66,6.42,broken clouds
181,Olafsvik,IS,64.8945,-23.7142,50.36,93,79,9.13,broken clouds
182,Winthrop,US,42.3751,-70.9828,68.23,93,100,5.01,overcast clouds
183,Saint Anthony,US,45.0205,-93.218,73.74,75,1,1.99,clear sky
184,Mogadouro,PT,41.3403,-6.7119,62.62,58,0,4.97,clear sky
185,San Isidro,PE,-12.1167,-77.05,60.39,97,90,10.36,overcast clouds
186,Iqaluit,CA,63.7506,-68.5145,41.7,75,100,4.0,overcast clouds
187,Faya,SA,18.3851,42.4509,66.72,60,100,3.44,overcast clouds
188,Dingle,PH,10.9995,122.6711,86.77,68,100,17.34,overcast clouds
189,Grindavik,IS,63.8424,-22.4338,46.87,93,90,5.75,overcast clouds
190,Prado,BR,-17.3411,-39.2208,68.77,95,21,7.78,few clouds
191,Saint George,US,37.1041,-113.5841,85.39,50,1,1.01,clear sky
192,Mackay,AU,-21.15,149.2,76.68,59,8,10.36,clear sky
193,Cidreira,BR,-30.1811,-50.2056,49.46,69,92,28.52,overcast clouds
194,Yayva,RU,59.3303,57.2641,72.01,55,0,4.43,clear sky
195,Codajas,BR,-3.8367,-62.0569,74.64,82,31,2.95,scattered clouds
196,Weinan,CN,34.5036,109.5089,88.45,53,70,6.06,broken clouds
197,Sayat,TM,38.7839,63.8803,99.41,9,12,12.19,few clouds
198,Acarau,BR,-2.8856,-40.12,76.42,89,6,10.89,clear sky
199,Kibala,TD,9.1104,18.3463,71.2,98,100,1.72,moderate rain
200,Banda Aceh,ID,5.5577,95.3222,86.43,61,89,17.0,light rain
201,Margate,GB,51.3813,1.3862,64.9,96,0,6.58,clear sky
202,Ust-Kuyga,RU,70.0167,135.6,68.23,31,100,17.45,overcast clouds
203,Tuktoyaktuk,CA,69.4541,-133.0374,45.9,94,89,2.17,overcast clouds
204,Inirida,CO,3.8653,-67.9239,72.88,98,98,1.86,overcast clouds
205,Tupelo,US,34.2576,-88.7034,73.69,88,40,3.0,scattered clouds
206,Artyom,AZ,40.4723,50.333,87.94,66,0,4.03,clear sky
207,Celestun,MX,20.8667,-90.4,77.76,87,57,8.23,broken clouds
208,Biltine,TD,14.5333,20.9167,80.49,65,62,11.56,broken clouds
209,Santa Elena,EC,-2.2333,-80.85,69.71,83,96,5.86,overcast clouds
210,Tasiilaq,GL,65.6145,-37.6368,39.36,89,88,8.05,overcast clouds
211,Tommot,RU,58.9564,126.2925,88.43,36,84,2.53,broken clouds
212,Yuanping,CN,38.7153,112.7575,81.36,56,85,5.86,overcast clouds
213,Port Augusta,AU,-32.5,137.7667,64.54,35,2,13.13,clear sky
214,Valleyview,CA,55.0667,-117.2859,56.88,90,100,3.65,overcast clouds
215,Solnechnyy,RU,50.7214,136.6319,86.04,46,90,4.65,overcast clouds
216,Camacha,PT,33.0833,-16.3333,68.54,73,40,11.5,scattered clouds
217,Susanville,US,40.4163,-120.653,71.96,33,89,6.15,overcast clouds
218,Torbay,CA,47.6666,-52.7314,61.68,83,66,4.0,broken clouds
219,Hohhot,CN,40.8106,111.6522,89.51,35,0,6.82,clear sky
220,Warri,NG,5.5167,5.75,75.63,90,97,3.53,light rain
221,Naze,JP,28.3667,129.4833,79.34,84,95,22.01,overcast clouds
222,Gladstone,AU,-23.85,151.25,73.33,31,0,6.91,light rain
223,Asheville,US,35.6009,-82.554,69.76,87,90,1.01,light rain
224,Mogadishu,SO,2.0371,45.3438,77.65,80,55,19.82,broken clouds
225,Llangefni,GB,53.2556,-4.3106,66.11,94,18,2.3,few clouds
226,Kieta,PG,-6.2167,155.6333,81.84,81,100,6.71,moderate rain
227,Srednekolymsk,RU,67.45,153.6833,64.76,32,40,4.99,scattered clouds
228,Bengkulu,ID,-3.8004,102.2655,83.61,68,74,6.42,broken clouds
229,Narasannapeta,IN,18.4167,84.05,89.78,62,80,10.04,broken clouds
230,Najran,SA,17.4924,44.1277,79.36,38,52,14.74,broken clouds
231,Nagaur,IN,27.2,73.7333,86.76,65,100,18.41,overcast clouds
232,Arsikere,IN,13.3139,76.2561,74.98,76,98,14.54,overcast clouds
233,Ghanzi,BW,-21.5667,21.7833,42.75,53,0,7.25,clear sky
234,Karratha,AU,-20.7377,116.8463,82.4,22,21,14.97,few clouds
235,Mahina,PF,-17.5065,-149.489,80.37,50,75,10.36,light rain
236,Dubbo,AU,-32.25,148.6167,51.93,66,75,10.36,broken clouds
237,Khorlovo,RU,55.3353,38.8131,71.33,71,69,5.28,broken clouds
238,Yuzhno-Kurilsk,RU,44.0306,145.8556,72.0,79,15,6.38,few clouds
239,Nexo,DK,55.0607,15.1306,62.69,74,27,15.68,scattered clouds
240,Mananjary,MG,-21.2167,48.3333,68.88,79,63,1.3,broken clouds
241,Brae,GB,60.3964,-1.353,53.51,69,97,8.84,overcast clouds
242,Muisne,EC,0.6,-80.0333,75.52,85,100,2.82,overcast clouds
243,Leningradskiy,RU,69.3833,178.4167,38.82,98,100,8.88,overcast clouds
244,Karasuk,RU,53.7377,78.0403,68.99,55,3,6.11,clear sky
245,Salalah,OM,17.0151,54.0924,78.89,89,90,8.05,overcast clouds
246,Asfi,MA,32.2994,-9.2372,68.65,72,0,12.3,clear sky
247,Seybaplaya,MX,19.65,-90.6667,75.97,88,97,5.37,overcast clouds
248,Kropotkin,RU,45.4375,40.5756,83.21,54,0,5.68,clear sky
249,Preeceville,CA,51.95,-102.6677,55.65,91,22,9.15,few clouds
250,Constantine,DZ,36.365,6.6147,65.97,64,0,2.35,clear sky
251,Whitehorse,CA,60.7161,-135.0538,63.12,57,82,8.93,broken clouds
252,Lasa,IT,46.6166,10.7002,58.37,81,19,5.41,few clouds
253,Acajutla,SV,13.5928,-89.8275,79.81,76,83,4.09,broken clouds
254,Nantucket,US,41.2835,-70.0995,73.99,95,90,4.61,fog
255,Saskylakh,RU,71.9167,114.0833,56.19,83,100,10.83,overcast clouds
